Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-09-30,18:45:00,878.1,878.64,877.39,878.24,7273,0
2013-09-30,18:50:00,878.21,878.5,878.06,878.06,4437,0
2013-09-30,18:55:00,878.08,878.111,877.33,877.5,3497,0
2013-09-30,19:00:00,877.49,877.64,877.25,877.4,2000,0
2013-09-30,19:05:00,877.6,878.88,877.23,878.18,13817,0
2013-09-30,19:10:00,878.38,879.67,878.38,879.39,11953,0
2013-09-30,19:15:00,879.45,879.67,878.51,878.537,12037,0
2013-09-30,19:20:00,878.56,880.84,878.55,880.107,26136,0
2013-09-30,19:25:00,880.01,880.398,878.8,878.97,10127,0
2013-09-30,19:30:00,878.945,879.18,878.203,878.252,7520,0
2013-09-30,19:35:00,878.72,879.32,878.56,879.22,3403,0
2013-09-30,19:40:00,879.896,880.26,879.1,879.18,18703,0
2013-09-30,19:45:00,879.37,879.825,878.928,878.928,6898,0
2013-09-30,19:50:00,878.985,879.53,878.985,879.505,3798,0
2013-09-30,19:55:00,879.32,879.38,878,878.21,7774,0
2013-09-30,20:00:00,878,878.14,876.46,877.16,14880,0
2013-09-30,20:05:00,877.14,877.71,877.083,877.305,8414,0
2013-09-30,20:10:00,877.284,877.96,876.895,877.75,6718,0
2013-09-30,20:15:00,877.99,878.27,877.18,877.87,5899,0
2013-09-30,20:20:00,878.01,878.02,876.93,876.941,4243,0
2013-09-30,20:25:00,877.162,877.658,876.36,877.06,7640,0
2013-09-30,20:30:00,877.06,878.06,876.86,877.95,6934,0
2013-09-30,20:35:00,877.74,878.616,877.56,878.28,7231,0
2013-09-30,20:40:00,878.27,878.792,877.83,878.162,4601,0
2013-09-30,20:45:00,878.266,878.279,877.33,877.57,5084,0
2013-09-30,20:50:00,877.7,878.99,877.7,878.61,5171,0
2013-09-30,20:55:00,878.842,878.91,877.955,877.955,4683,0
2013-09-30,21:00:00,877.93,878.168,876.75,877.04,10277,0
2013-09-30,21:05:00,876.97,877.057,875.59,875.62,10226,0
2013-09-30,21:10:00,875.62,877.15,875.62,876.75,12447,0
2013-09-30,21:15:00,876.91,876.97,875.13,875.428,14407,0
2013-09-30,21:20:00,875.52,876.09,874.96,875.97,23948,0
2013-09-30,21:25:00,876.2,876.983,875.581,876.76,7109,0
2013-09-30,21:30:00,876.68,876.91,876.09,876.09,13299,0
2013-09-30,21:35:00,876.09,876.26,874.988,875.52,21791,0
2013-09-30,21:40:00,875.61,876,874.81,875.4,25532,0
2013-09-30,21:45:00,875.4,875.5,874.52,874.99,14969,0
2013-09-30,21:50:00,875,876.33,873.99,874.32,31183,0
2013-09-30,21:55:00,874.26,875.29,873.92,874.83,36339,0
2013-09-30,22:00:00,874.65,876.88,874.56,875.91,330105,0
2013-10-01,15:35:00,880.25,887.67,880.13,885.37,170108,0
2013-10-01,15:40:00,885.98,885.98,882.597,882.75,43738,0
2013-10-01,15:45:00,882.86,883.75,882.34,883.17,30695,0
2013-10-01,15:50:00,883.096,883.096,881.79,882.45,32830,0
2013-10-01,15:55:00,882.31,883.09,882.31,882.58,91900,0
2013-10-01,16:00:00,882.612,882.999,882.012,882.73,42040,0
2013-10-01,16:05:00,882.39,884.5,882.34,884.47,60497,0
2013-10-01,16:10:00,884.685,885.133,884.45,884.5,23705,0
2013-10-01,16:15:00,884.885,885,882.84,883.37,27325,0
2013-10-01,16:20:00,883.77,884.48,883.37,884.48,15285,0
2013-10-01,16:25:00,884.48,885,883.62,884.94,22960,0
2013-10-01,16:30:00,884.97,885.08,884.25,884.25,20622,0
2013-10-01,16:35:00,884.68,886,884.68,886,15635,0
2013-10-01,16:40:00,885.98,886.07,884.77,885.92,13173,0
2013-10-01,16:45:00,885.92,886.56,885.51,885.91,16906,0
